Mouse.ID	Microbiota 	Diet	Gender	Genotype	Age.on.day.zero	Whole.gut.transit.time	Interval.between.FITC.gavage.and.euthanasia	Geometric.mean.of.fluorescence	Stomach.gut.segment.1	SI-1.gut.segment.2	SI-2.gut.segment.3	SI-3.gut.segment.4	SI-4.gut.segment.5	SI-5.gut.segment.6	SI-6.gut.segment.7	SI-7.gut.segment.8	SI-8.gut.segment.9	Cecum.gut.segment.10	Proximal.colon.gut.segment.11	Distal.colon.gut.segment.12
E6G5M3	GF	Bland	Female	Swiss-Webster wild-type	53	5.52	2	6.82	0.0011	0.0004	0.0009	0.0205	0.0015	0.1946	0.7116	0.0573	0.0043	0.0058	0.0020	0.0000
E3G1M1	GF	Turmeric	Male	Swiss-Webster wild-type	48	NA	2	6.91	0.0604	0.0016	0.0028	0.0081	0.0158	0.0926	0.3939	0.4179	0.0000	0.0061	0.0006	0.0000
E6G1M1	GF	Turmeric	Male	Swiss-Webster wild-type	45	4.75	2	7.44	0.0166	0.0027	0.0017	0.0244	0.0060	0.0606	0.2565	0.5736	0.0490	0.0029	0.0059	0.0000
E6G1M2	GF	Turmeric	Male	Swiss-Webster wild-type	45	4.63	2	7.77	0.0007	0.0000	0.0004	0.0035	0.0054	0.0510	0.2526	0.5682	0.0869	0.0224	0.0061	0.0028
E3G1M3	GF	Turmeric	Female	Swiss-Webster wild-type	48	NA	2	8.11	0.0001	0.0008	0.0005	0.0105	0.0002	0.0549	0.0102	0.6447	0.2779	0.0002	0.0000	0.0000
E3G1M4	GF	Turmeric	Female	Swiss-Webster wild-type	48	NA	2	8.28	0.0000	0.0000	0.0000	0.0000	0.0021	0.0110	0.1193	0.4364	0.4303	0.0009	0.0000	0.0000
E6G6M2	BSH-low-2	Turmeric	Male	Swiss-Webster wild-type	45	6.07	2	7.32	0.0238	0.0009	0.0018	0.0036	0.0556	0.0885	0.1794	0.6287	0.0008	0.0147	0.0018	0.0003
E3G2M3	BSH-low-1	Turmeric	Female	Swiss-Webster wild-type	49	NA	2	7.49	0.0004	0.0069	0.0071	0.0000	0.0239	0.0379	0.2918	0.6242	0.0056	0.0017	0.0004	0.0000
E6G6M1	BSH-low-2	Turmeric	Male	Swiss-Webster wild-type	45	5.08	2	7.72	0.0228	0.0058	0.0212	0.0003	0.0039	0.0927	0.0067	0.6418	0.1832	0.0189	0.0027	0.0000
E4G2M2	BSH-low-1	Bland-->Turmeric	Male	Swiss-Webster wild-type	50	Bland: 2.93; Turmeric: 2.93	2	7.74	0.0844	0.0052	0.0062	0.0181	0.0551	0.0542	0.1113	0.1288	0.2596	0.2381	0.0390	0.0000
E15G3M3	BSH-low-2	Turmeric	Female	C57BL/6 wild-type	93	5.03	2	7.88	0.0031	0.0000	0.0003	0.0668	0.0132	0.2518	0.0376	0.0028	0.5151	0.0934	0.0146	0.0014
E18G2M3	BSH-low-1	Turmeric	Female	C57BL/6 wild-type	43	4.93	2	7.90	0.0179	0.0000	0.0000	0.0008	0.0006	0.0626	0.3859	0.0066	0.5097	0.0134	0.0020	0.0006
